ident;iso_country;iata_code
WAWB;ID;BUW
FZKA;CD;BUX
YBUN;AU;BUY
OIBB;IR;BUZ
LFOB;FR;BVA
SBBV;BR;BVB
GVBA;CV;BVC
FR-0321;FR;BVE
ENBV;NO;BVG
SBVH;BR;BVH
YBDV;AU;BVI
SLHJ;BO;BVK
BO-BVL;BO;BVL
SNBL;BR;BVM
KBVO;US;BVO
BVR;CV;BVR
SNVS;BR;BVS
PABG;US;BVU
UHSB;RU;BVV
YBTV;AU;BVW
KBVX;US;BVX
KBVY;US;BVY
YBYS;AU;BVZ
VNBW;NP;BWA
YBWX;AU;BWB
KBWC;US;BWC
KBWD;US;BWD
EDVE;DE;BWE
EGNL;GB;BWF
KBWG;US;BWG
WMKB;MY;BWH
KBWI;US;BWI
BWJ;PG;BWJ
LDSB;HR;BWK
6OK6;US;BWL
KBWW;US;BWM
WBSB;BN;BWN
UWSB;RU;BWO
BWP;PG;BWP
YBRW;AU;BWQ
YWYY;AU;BWT
YSBK;AU;BWU
MUBR;CU;BWW
ID-0011;ID;BWX
KBXA;US;BXA
WASO;ID;BXB
WAKE;ID;BXD
GOTB;SN;BXE
YBEB;AU;BXF
YBDG;AU;BXG
UAAH;KZ;BXH
DIBI;CI;BXI
UAAR;KZ;BXJ
KBXK;US;BXK
BXL;FJ;BXL
ID-BXM;ID;BXM
LTBV;TR;BXN
LSZC;CH;BXO
EPBP;PL;BXP
OIKM;IR;BXR
KL08;US;BXS
WRLC;ID;BXT
RPME;PH;BXU
BIBV;IS;BXV
ID-0169;ID;BXW
SO-BXX;SO;BXX
KZ-0067;KZ;BXY
BXZ;PG;BXZ
BYA;US;BYA
OM-0001;OM;BYB
SLYA;BO;BYC
OYBI;YE;BYD
LFAQ;FR;BYF
KBYG;US;BYG
KBYH;US;BYH
KBYI;US;BYI
LPBJ;PT;BYJ
DIBK;CI;BYK
BYL;LR;BYL
MUBY;CU;BYM
ZMBH;MN;BYN
SBDB;BR;BYO
YBRY;AU;BYP
WALV;ID;BYQ
EKLS;DK;BYR
KBYS;US;BYS
EIBN;IE;BYT
EDQD;DE;BYU
BYV;LK;BYV
38WA;US;BYW
AU-BYX;AU;BYX
MNBZ;NI;BZA
BZB;MZ;BZB
SBBZ;BR;BZC
YBRN;AU;BZD
MZBZ;BZ;BZE
O85;US;BZF
EPBY;PL;BZG
FVBM;ZW;BZH
LTBF;TR;BZI
UUBP;RU;BZK
VGBR;BD;BZL
BZM;MG;BZM
KBZN;US;BZN
LIPB;IT;BZO
YBIZ;AU;BZP
LFMU;FR;BZR
2TE0;US;BZT
FZKJ;CD;BZU
FCBB;CG;BZV
CN-0062;CN;BZX
LUBL;MD;BZY
EGVN;GB;BZZ
MHCA;HN;CAA
FNCA;AO;CAB
SBCA;BR;CAC
KCAD;US;CAD
KCAE;US;CAE
SWCA;BR;CAF
LIEE;IT;CAG
VVCM;VN;CAH
HECA;EG;CAI
SVCN;VE;CAJ
KCAK;US;CAK
EGEC;GB;CAL
SLCA;BO;CAM
ZGGG;CN;CAN
KCAO;US;CAO
MTCH;HT;CAP
SKCU;CO;CAQ
KCAR;US;CAR
LPCS;PT;CAT
SNRU;BR;CAU
FNCZ;AO;CAV
SBCP;BR;CAW
EGNC;GB;CAX
SOCA;GF;CAY
YCBA;AU;CAZ
SLCB;BO;CBB
CBC;AU;CBC
VOCX;IN;CBD
KCBE;US;CBE
KCBF;US;CBF
EGSC;GB;CBG
DAOR;DZ;CBH
YCBN;AU;CBI
MDCR;DO;CBJ
KCBK;US;CBK
SVCB;VE;CBL
KCBM;US;CBM
WICD;ID;CBN
RPMC;PH;CBO
DNCA;NG;CBQ
YSCB;AU;CBR
SVON;VE;CBS
FNCT;AO;CBT
EDCD;DE;CBU
MGCB;GT;CBV
SSKM;BR;CBW
YCDO;AU;CBX
YCBE;AU;CBY
SLCH;BO;CCA
KCCB;US;CCB
MUCC;CU;CCC
HE13;EG;CCE
LFMK;FR;CCF
KE13;US;CCG
SCCC;CL;CCH
SSCK;BR;CCI
VOCL;IN;CCJ
YPCC;CC;CCK
YCCA;AU;CCL
SBCM;BR;CCM
OACC;AF;CCN
